GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Zoo04Group,edu.nwmissouri.zoo04group,Scooter,0,65,0,0,0,20,0,7,0,7
Zoo04Group,edu.nwmissouri.zoo04group,CoalTrainGroup,17,61,4,1,7,22,5,3,1,3
Zoo04Group,edu.nwmissouri.zoo04group,ElectricCarGroup.Color,0,27,0,0,0,5,0,1,0,1
Zoo04Group,edu.nwmissouri.zoo04group,Squirrel,55,54,4,0,21,24,4,11,2,11
Zoo04Group,edu.nwmissouri.zoo04group,SquirrelGroup,28,68,5,1,12,24,6,3,1,3
Zoo04Group,edu.nwmissouri.zoo04group,ArvicolinaeGroup,3,61,0,0,1,19,1,3,1,3
Zoo04Group,edu.nwmissouri.zoo04group,DaysofWeek,45,0,0,0,8,0,1,0,1,0
Zoo04Group,edu.nwmissouri.zoo04group,Walrus,16,55,0,0,7,16,1,7,1,7
Zoo04Group,edu.nwmissouri.zoo04group,PandaGroup,3,63,0,0,1,18,1,3,1,3
Zoo04Group,edu.nwmissouri.zoo04group,CoalTrain,68,24,0,0,20,12,3,6,3,6
Zoo04Group,edu.nwmissouri.zoo04group,ElectricCarGroup,17,62,4,1,7,23,5,3,1,3
Zoo04Group,edu.nwmissouri.zoo04group,Bus,0,62,0,0,0,20,0,7,0,7
Zoo04Group,edu.nwmissouri.zoo04group,Panda,0,61,0,0,0,24,0,8,0,8
Zoo04Group,edu.nwmissouri.zoo04group,SquirrelGroup.Animals,0,33,0,0,0,6,0,1,0,1
Zoo04Group,edu.nwmissouri.zoo04group,CatGroup,3,58,0,0,1,18,1,3,1,3
Zoo04Group,edu.nwmissouri.zoo04group,AnimalGender,0,21,0,0,0,4,0,1,0,1
Zoo04Group,edu.nwmissouri.zoo04group,ScooterGroup,17,60,4,1,7,22,5,3,1,3
Zoo04Group,edu.nwmissouri.zoo04group,Cat,18,50,0,0,8,12,1,5,1,5
Zoo04Group,edu.nwmissouri.zoo04group,VehicleColor,0,39,0,0,0,7,0,1,0,1
Zoo04Group,edu.nwmissouri.zoo04group,ZooAuthors,278,0,14,0,68,0,20,0,13,0
Zoo04Group,edu.nwmissouri.zoo04group,ZooAppVehicle,185,0,30,0,81,0,22,0,2,0
Zoo04Group,edu.nwmissouri.zoo04group,ZooBuildCodeIssues,179,0,0,0,44,0,19,0,19,0
Zoo04Group,edu.nwmissouri.zoo04group,Cat.Animal,21,0,0,0,4,0,1,0,1,0
Zoo04Group,edu.nwmissouri.zoo04group,Vehicle,10,20,0,0,4,9,3,3,3,3
Zoo04Group,edu.nwmissouri.zoo04group,HarpSealGroup,17,76,4,1,7,25,5,3,1,3
Zoo04Group,edu.nwmissouri.zoo04group,ZooWebApp,8,0,0,0,3,0,2,0,2,0
Zoo04Group,edu.nwmissouri.zoo04group,Bike,42,24,0,0,13,12,3,6,3,6
Zoo04Group,edu.nwmissouri.zoo04group,BikeGroup,13,60,3,1,5,22,4,3,1,3
Zoo04Group,edu.nwmissouri.zoo04group,BikeGroup.Color,0,21,0,0,0,4,0,1,0,1
Zoo04Group,edu.nwmissouri.zoo04group,Arvicolinae,0,66,0,0,0,20,0,7,0,7
Zoo04Group,edu.nwmissouri.zoo04group,WalrusGroup,12,67,4,1,4,21,5,3,1,3
Zoo04Group,edu.nwmissouri.zoo04group,WalrusGroup.Donate,0,27,0,0,0,5,0,1,0,1
Zoo04Group,edu.nwmissouri.zoo04group,ZooCheckFiles,206,0,12,0,55,0,16,0,10,0
Zoo04Group,edu.nwmissouri.zoo04group,BusGroup,3,52,0,0,1,17,1,3,1,3
Zoo04Group,edu.nwmissouri.zoo04group,CoalTrainGroup.Color,0,27,0,0,0,5,0,1,0,1
Zoo04Group,edu.nwmissouri.zoo04group,ElectricCar,0,77,0,0,0,26,0,9,0,9
Zoo04Group,edu.nwmissouri.zoo04group,ScooterGroup.Color,0,27,0,0,0,5,0,1,0,1
Zoo04Group,edu.nwmissouri.zoo04group,WheelChairGroup,14,54,4,1,6,20,5,3,1,3
Zoo04Group,edu.nwmissouri.zoo04group,ArvicolinaeGroup.Animal,0,21,0,0,0,4,0,1,0,1
Zoo04Group,edu.nwmissouri.zoo04group,HarpSeal,0,78,0,0,0,26,0,9,0,9
Zoo04Group,edu.nwmissouri.zoo04group,PandaGroup.age,0,21,0,0,0,4,0,1,0,1
Zoo04Group,edu.nwmissouri.zoo04group,HarpSealGroup.Animals,0,27,0,0,0,5,0,1,0,1
Zoo04Group,edu.nwmissouri.zoo04group,WheelChairGroup.Donate,0,27,0,0,0,5,0,1,0,1
Zoo04Group,edu.nwmissouri.zoo04group,ZooBuildSwitch,317,0,22,0,71,0,17,0,6,0
Zoo04Group,edu.nwmissouri.zoo04group,Animal,18,12,0,0,8,5,5,1,5,1
Zoo04Group,edu.nwmissouri.zoo04group,BusGroup.type,0,21,0,0,0,4,0,1,0,1
Zoo04Group,edu.nwmissouri.zoo04group,ZooIndexController,67,0,7,0,28,0,10,0,4,0
Zoo04Group,edu.nwmissouri.zoo04group,WheelChair,0,40,0,0,0,19,0,7,0,7
